1712,CO Meeker 15 W,20100720,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1109,CO Montrose 11 ENE,20040725,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1109,CO Montrose 11 ENE,20100421,,,,CR3000
1014,CO Nunn 7 NNE,20030706,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1014,CO Nunn 7 NNE,20101003,,,,CR3000
1713,CO Rifle 23 NW,20100720,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1695,CO Rocky Ford 1 ESE,20091101,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1654,CO Saguache 2 WNW,20090618,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1698,CO Springfield 6 WSW,20100517,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1660,CO Stratton 24 N,20090614,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1696,CO Woodland Park 14 WSW,20100629,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1128,FL Everglades City 5 NE,20070210,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1128,FL Everglades City 5 NE,20100124,,,,CR3000
1530,FL Sebring 23 SSE,20071208,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1530,FL Sebring 23 SSE,20100122,,,,CR3000
1141,FL Titusville 7 E,20050507,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1141,FL Titusville 7 E,20100121,,,,CR3000
1120,GA Brunswick 23 S,20041216,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1120,GA Brunswick 23 S,20100127,,,,CR3000
1033,GA Newton 11 SW,20020820,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1033,GA Newton 11 SW,20100125,,,,CR3000
